Total: 15 columns

1. DIFFERENT | expected: 国家 | actual_b64: w6XCm8K9w6XCrsK2 | expected_b64: 5Zu95a62
2. DIFFERENT | expected: 仓库名 | actual_b64: w6TCu8KTw6XCusKTw6XCkMKN | expected_b64: 5LuT5bqT5ZCN
3. DIFFERENT | expected: 主品SKU | actual_b64: w6TCuMK7w6XCk8KBU0tV | expected_b64: 5Li75ZOBU0tV
4. DIFFERENT | expected: 主品在途数量 | actual_b64: w6TCuMK7w6XCk8KBw6XCnMKow6nCgMKUw6bClcKww6nCh8KP | expected_b64: 5Li75ZOB5Zyo6YCU5pWw6YeP
5. DIFFERENT | expected: 主品仓库可用量 | actual_b64: w6TCuMK7w6XCk8KBw6TCu8KTw6XCusKTw6XCj8Kvw6fClMKow6nCh8KP | expected_b64: 5Li75ZOB5LuT5bqT5Y+v55So6YeP
6. DIFFERENT | expected: 主品计划在途量 | actual_b64: w6TCuMK7w6XCk8KBw6jCrsKhw6XCiMKSw6XCnMKow6nCgMKUw6nCh8KP | expected_b64: 5Li75ZOB6K6h5YiS5Zyo6YCU6YeP
7. DIFFERENT | expected: 主品90天销量 | actual_b64: w6TCuMK7w6XCk8KBOTDDpcKkwqnDqcKUwoDDqcKHwo8= | expected_b64: 5Li75ZOBOTDlpKnplIDph48=
8. DIFFERENT | expected: 主品90天日均销 | actual_b64: w6TCuMK7w6XCk8KBOTDDpcKkwqnDpsKXwqXDpcKdwofDqcKUwoA= | expected_b64: 5Li75ZOBOTDlpKnml6XlnYfplIA=
9. DIFFERENT | expected: 主品商品等级 | actual_b64: w6TCuMK7w6XCk8KBw6XClcKGw6XCk8KBw6fCrcKJw6fCusKn | expected_b64: 5Li75ZOB5ZWG5ZOB562J57qn
10. DIFFERENT | expected: 黄盒SKU | actual_b64: w6nCu8KEw6fCm8KSU0tV | expected_b64: 6buE55uSU0tV
11. DIFFERENT | expected: 黄盒在途数量 | actual_b64: w6nCu8KEw6fCm8KSw6XCnMKow6nCgMKUw6bClcKww6nCh8KP | expected_b64: 6buE55uS5Zyo6YCU5pWw6YeP
12. DIFFERENT | expected: 黄盒海外仓可用量 | actual_b64: w6nCu8KEw6fCm8KSw6bCtcK3w6XCpMKWw6TCu8KTw6XCj8Kvw6fClMKow6nCh8KP | expected_b64: 6buE55uS5rW35aSW5LuT5Y+v55So6YeP
13. DIFFERENT | expected: 黄盒计划在途量 | actual_b64: w6nCu8KEw6fCm8KSw6jCrsKhw6XCiMKSw6XCnMKow6nCgMKUw6nCh8KP | expected_b64: 6buE55uS6K6h5YiS5Zyo6YCU6YeP
14. DIFFERENT | expected: 黄盒90天销量 | actual_b64: w6nCu8KEw6fCm8KSOTDDpcKkwqnDqcKUwoDDqcKHwo8= | expected_b64: 6buE55uSOTDlpKnplIDph48=
15. DIFFERENT | expected: 黄盒国内仓可用量 | actual_b64: w6nCu8KEw6fCm8KSw6XCm8K9w6XChsKFw6TCu8KTw6XCj8Kvw6fClMKow6nCh8KP | expected_b64: 6buE55uS5Zu95YaF5LuT5Y+v55So6YeP
